Steps,Loss,Accuracy
1,0.754144549369812,0.431640625
2,0.5462354421615601,0.6875
3,0.32735392451286316,0.884765625
4,0.2669312059879303,0.87890625
5,0.19462470710277557,0.9172661870503597
6,0.19960615038871765,0.912109375
7,0.20469415187835693,0.90234375
8,0.19020774960517883,0.912109375
9,0.1550898253917694,0.951171875
10,0.1475326418876648,0.9424460431654677
11,0.18288326263427734,0.91015625
12,0.1549372673034668,0.9375
13,0.15260867774486542,0.921875
14,0.13676035404205322,0.9453125
15,0.10097341239452362,0.960431654676259
16,0.13149979710578918,0.943359375
17,0.15462446212768555,0.921875
18,0.16818590462207794,0.92578125
19,0.11229636520147324,0.953125
20,0.11573569476604462,0.9568345323741008
21,0.1507086604833603,0.935546875
22,0.14576077461242676,0.939453125
23,0.15639185905456543,0.935546875
24,0.170018270611763,0.93359375
25,0.11685433238744736,0.9532374100719424
26,0.10968223959207535,0.95703125
27,0.15391221642494202,0.943359375
28,0.18996769189834595,0.923828125
29,0.13172227144241333,0.947265625
30,0.088484026491642,0.9640287769784173
31,0.14180514216423035,0.931640625
32,0.12226073443889618,0.9453125
33,0.1630743145942688,0.935546875
34,0.13932915031909943,0.9453125
35,0.06299439817667007,0.9784172661870504
36,0.11863410472869873,0.951171875
37,0.10814361274242401,0.9609375
38,0.16591143608093262,0.93359375
39,0.11651073396205902,0.955078125
40,0.10669108480215073,0.960431654676259
41,0.12884992361068726,0.94921875
42,0.11650630086660385,0.9609375
43,0.1217612624168396,0.955078125
44,0.12305183708667755,0.958984375
45,0.08690439164638519,0.9568345323741008
46,0.12210702151060104,0.95703125
47,0.10135349631309509,0.962890625
48,0.11736321449279785,0.947265625
49,0.1355021446943283,0.953125
50,0.06913631409406662,0.9748201438848921
51,0.11203054338693619,0.95703125
52,0.13849975168704987,0.94140625
53,0.16588637232780457,0.94140625
54,0.10433637350797653,0.951171875
55,0.10292939841747284,0.9496402877697842
56,0.11186648160219193,0.94140625
57,0.12326831370592117,0.951171875
58,0.11581011116504669,0.94921875
59,0.11149030923843384,0.95703125
60,0.04649779200553894,0.9892086330935251
61,0.13277551531791687,0.9375
62,0.12670846283435822,0.943359375
63,0.09734039008617401,0.9609375
64,0.09745144844055176,0.95703125
65,0.10146090388298035,0.9568345323741008
66,0.09692814946174622,0.95703125
67,0.12589512765407562,0.958984375
68,0.12585331499576569,0.95703125
69,0.08244562149047852,0.9609375
70,0.0825093686580658,0.9748201438848921
71,0.10930716246366501,0.951171875
72,0.10245469212532043,0.9453125
73,0.15837061405181885,0.935546875
74,0.10068575292825699,0.9609375
75,0.06312965601682663,0.9820143884892086
76,0.10234109312295914,0.953125
77,0.11791794002056122,0.955078125
78,0.12017582356929779,0.939453125
79,0.08918876945972443,0.958984375
80,0.08218517899513245,0.960431654676259
81,0.11433122307062149,0.953125
82,0.07345613837242126,0.96875
83,0.09885044395923615,0.966796875
84,0.11943221837282181,0.9453125
85,0.0461810901761055,0.9784172661870504
86,0.09321927279233932,0.95703125
87,0.10662506520748138,0.951171875
88,0.12609872221946716,0.9453125
89,0.11281554400920868,0.951171875
90,0.05659443885087967,0.9784172661870504
91,0.09349755942821503,0.966796875
92,0.10587942600250244,0.94921875
93,0.12319295108318329,0.962890625
94,0.07772981375455856,0.974609375
95,0.04506325349211693,0.9856115107913669
96,0.10045120120048523,0.962890625
97,0.11722138524055481,0.94921875
98,0.08441905677318573,0.96484375
99,0.08130639791488647,0.966796875
100,0.06448237597942352,0.9748201438848921
101,0.11410297453403473,0.947265625
102,0.10384207963943481,0.94921875
103,0.103497214615345,0.95703125
104,0.07819792628288269,0.970703125
105,0.07568134367465973,0.9640287769784173
106,0.0829930305480957,0.96875
107,0.12275305390357971,0.953125
108,0.08720935136079788,0.96875
