Steps,Loss,Accuracy
183,0.10269586741924286,0.953125
184,0.1268118917942047,0.9609375
185,0.06727013736963272,0.9712230215827338
186,0.11191028356552124,0.947265625
187,0.07077936083078384,0.9765625
188,0.10074789077043533,0.953125
189,0.08330941945314407,0.970703125
190,0.04942743480205536,0.9784172661870504
191,0.12619854509830475,0.951171875
192,0.11219755560159683,0.953125
193,0.09032822400331497,0.962890625
194,0.07763472199440002,0.96875
195,0.0687398910522461,0.9784172661870504
196,0.0873299092054367,0.962890625
197,0.1170034259557724,0.955078125
198,0.08776053786277771,0.96875
199,0.0755169540643692,0.974609375
200,0.055292949080467224,0.9748201438848921
201,0.1084379255771637,0.951171875
202,0.09027854353189468,0.96875
203,0.11267642676830292,0.9609375
204,0.08728380501270294,0.95703125
205,0.050359051674604416,0.9928057553956835
206,0.08927273750305176,0.9609375
207,0.08768495917320251,0.96484375
208,0.09918767213821411,0.9609375
209,0.08924257755279541,0.970703125
210,0.06397578865289688,0.9712230215827338
211,0.1252637654542923,0.955078125
212,0.11335375905036926,0.9609375
213,0.11449357122182846,0.955078125
214,0.08746836334466934,0.9609375
215,0.05090008303523064,0.9856115107913669
216,0.08495596051216125,0.96875
217,0.08839888870716095,0.962890625
218,0.10904238373041153,0.95703125
219,0.08477761596441269,0.962890625
220,0.05973957106471062,0.9820143884892086
221,0.10244180262088776,0.95703125
222,0.11870289593935013,0.94140625
223,0.09241905063390732,0.97265625
224,0.07769528031349182,0.970703125
225,0.08874258399009705,0.9532374100719424
226,0.08838989585638046,0.958984375
227,0.08648990094661713,0.970703125
228,0.11792060732841492,0.955078125
229,0.10948969423770905,0.953125
230,0.05826505646109581,0.9820143884892086
231,0.08721993118524551,0.970703125
232,0.07987921684980392,0.970703125
233,0.08301543444395065,0.966796875
234,0.0830315500497818,0.9609375
235,0.08214078098535538,0.9640287769784173
236,0.10200105607509613,0.955078125
237,0.10203760117292404,0.9609375
238,0.12128286063671112,0.953125
239,0.0892748013138771,0.96484375
240,0.048681385815143585,0.9892086330935251
241,0.0754610076546669,0.970703125
242,0.09037540853023529,0.95703125
243,0.09937159717082977,0.96875
244,0.09550796449184418,0.962890625
245,0.05598141625523567,0.9820143884892086
246,0.07571258395910263,0.966796875
247,0.07742895185947418,0.97265625
248,0.08401235938072205,0.962890625
249,0.09762424230575562,0.95703125
250,0.0466042198240757,0.9784172661870504
