Epoch,Loss,Accuracy
1,0.7063295841217041,0.537109375
2,0.6401190757751465,0.56640625
3,0.3760031461715698,0.8046875
4,0.2830599546432495,0.849609375
5,0.21347549557685852,0.916015625
6,0.19992253184318542,0.91015625
7,0.1897793412208557,0.912109375
8,0.13149099051952362,0.939453125
9,0.1487416923046112,0.935546875
10,0.17579996585845947,0.908203125
11,0.13350211083889008,0.9375
12,0.15530239045619965,0.9453125
13,0.12933330237865448,0.943359375
14,0.1696210652589798,0.939453125
15,0.1626952737569809,0.9375
16,0.16346968710422516,0.931640625
17,0.12155698984861374,0.951171875
18,0.14371506869792938,0.939453125
19,0.13176369667053223,0.93359375
20,0.15543216466903687,0.94140625
21,0.22588476538658142,0.91796875
22,0.12327619642019272,0.951171875
23,0.1390615701675415,0.9453125
24,0.13297556340694427,0.95703125
25,0.08701729774475098,0.9609375
26,0.1328943371772766,0.94140625
27,0.13081911206245422,0.953125
28,0.13523270189762115,0.943359375
29,0.1750601828098297,0.931640625
30,0.17821389436721802,0.939453125
31,0.1199457123875618,0.955078125
32,0.124237060546875,0.94140625
33,0.10298892855644226,0.95703125
34,0.10405697673559189,0.95703125
35,0.11103624850511551,0.953125
36,0.2218584418296814,0.935546875
37,0.114312082529068,0.94921875
38,0.10609089583158493,0.962890625
39,0.11164115369319916,0.947265625
40,0.1453455239534378,0.939453125
41,0.13310745358467102,0.953125
42,0.14848150312900543,0.943359375
43,0.1178167536854744,0.955078125
44,0.14493891596794128,0.9375
45,0.10119971632957458,0.95703125
46,0.11365655064582825,0.954954954954955
47,0.09144924581050873,0.970703125
48,0.09101597219705582,0.9609375
49,0.1227039024233818,0.953125
50,0.12187083065509796,0.951171875
51,0.1409626305103302,0.953125
52,0.096471406519413,0.96484375
53,0.14846305549144745,0.947265625
54,0.11785025149583817,0.94921875
55,0.15002751350402832,0.9453125
56,0.12914815545082092,0.94140625
57,0.10691653937101364,0.943359375
58,0.12064501643180847,0.943359375
59,0.15927554666996002,0.951171875
60,0.16907308995723724,0.94921875
61,0.14692756533622742,0.953125
62,0.1014566645026207,0.9453125
63,0.11197846382856369,0.9453125
64,0.14218688011169434,0.935546875
65,0.13578808307647705,0.9375
66,0.10153492540121078,0.94921875
67,0.1508418619632721,0.92578125
68,0.14335566759109497,0.9453125
69,0.14986613392829895,0.94140625
70,0.10708969831466675,0.955078125
71,0.12901785969734192,0.953125
72,0.12954851984977722,0.9453125
73,0.11286865919828415,0.9453125
74,0.12015774101018906,0.947265625
75,0.15174543857574463,0.9453125
76,0.12314976751804352,0.943359375
77,0.13803067803382874,0.943359375
