Epoch,Loss,Accuracy
1,0.74067622423172,0.5064377682403434
2,0.5805078744888306,0.7510729613733905
3,0.3442990779876709,0.8927038626609443
4,0.25484713912010193,0.9055793991416309
5,0.18836484849452972,0.944206008583691
6,0.1594088077545166,0.944206008583691
7,0.16697876155376434,0.9399141630901288
8,0.14521406590938568,0.9484978540772532
9,0.16008824110031128,0.9399141630901288
10,0.10555152595043182,0.9527896995708155
11,0.10989563167095184,0.9699570815450643
12,0.08631117641925812,0.9527896995708155
13,0.09749609231948853,0.9570815450643777
14,0.12547022104263306,0.9356223175965666
15,0.09508923441171646,0.9613733905579399
16,0.11226548254489899,0.9527896995708155
17,0.1281905323266983,0.9527896995708155
18,0.07379025220870972,0.9742489270386266
19,0.07729947566986084,0.9699570815450643
20,0.08281779289245605,0.9613733905579399
21,0.10165402293205261,0.9613733905579399
22,0.09623983502388,0.9570815450643777
23,0.0850842148065567,0.9742489270386266
24,0.08947073668241501,0.9742489270386266
25,0.04462062940001488,0.9871244635193133
26,0.068623848259449,0.9742489270386266
27,0.055440790951251984,0.9699570815450643
28,0.06783898919820786,0.9699570815450643
29,0.04160309210419655,0.9871244635193133
30,0.06282536685466766,0.9785407725321889
31,0.07065297663211823,0.9656652360515021
32,0.12266973406076431,0.9656652360515021
33,0.11505506187677383,0.9484978540772532
34,0.06531337648630142,0.9871244635193133
35,0.0642610564827919,0.9742489270386266
36,0.03616252914071083,0.9957081545064378
37,0.05763982608914375,0.9699570815450643
38,0.06505177915096283,0.9914163090128756
39,0.05822483077645302,0.9828326180257511
40,0.06856990605592728,0.9742489270386266
41,0.04406603053212166,0.9828326180257511
42,0.0535174161195755,0.9871244635193133
43,0.04934822395443916,0.9828326180257511
44,0.06542297452688217,0.9656652360515021
45,0.11232911795377731,0.9570815450643777
46,0.055970706045627594,0.9742489270386266
47,0.03968188911676407,0.9871244635193133
48,0.02220158651471138,0.9957081545064378
49,0.03414591774344444,0.9871244635193133
50,0.047397430986166,0.9871244635193133
