Step,WeightDecay,TotalLoss,SupervisedLoss,SupervisedAccuracy
2,0.00021795426437165588,596.5151977539062,596.5149536132812,48.828125
4,0.00010560679947957397,18.775352478027344,18.77524757385254,51.5625
6,0.0009409289341419935,6.138133525848389,6.137192249298096,82.8125
8,0.0026699015870690346,7.663362503051758,7.660693168640137,87.5
10,0.004735213238745928,4.777388095855713,4.772652626037598,87.890625
12,0.00683196634054184,2.523244857788086,2.5164127349853516,88.28125
14,0.008811458945274353,0.7069246768951416,0.698113203048706,87.109375
16,0.010602117516100407,0.5107872486114502,0.5001851320266724,84.375
18,0.01217617467045784,0.3895111382007599,0.37733495235443115,82.03125
20,0.013532165437936783,0.3658779263496399,0.3523457646369934,83.203125
22,0.014683673158288002,0.3660127818584442,0.35132911801338196,82.03125
24,0.01565133035182953,0.40896791219711304,0.3933165669441223,81.640625
26,0.016457784920930862,0.3562447428703308,0.33978694677352905,82.8125
28,0.01712573692202568,0.3989788889884949,0.3818531632423401,78.125
30,0.017676226794719696,0.34821319580078125,0.33053696155548096,82.03125
32,0.018128391355276108,0.30152231454849243,0.283393919467926,83.59375
34,0.018498845398426056,0.32488757371902466,0.3063887059688568,86.71875
36,0.01880154013633728,0.27486419677734375,0.25606268644332886,89.453125
38,0.019048357382416725,0.34083399176597595,0.3217856287956238,85.15625
40,0.019249096512794495,0.2502443790435791,0.2309952825307846,90.625
42,0.019412141293287277,0.28795096278190613,0.26853883266448975,87.890625
44,0.019544273614883423,0.3173089027404785,0.2977646291255951,86.328125
46,0.01965118572115898,0.2698674201965332,0.2502162456512451,89.453125
48,0.01973770372569561,0.2855091094970703,0.26577138900756836,89.84375
50,0.01980748400092125,0.217012420296669,0.19720493257045746,91.015625
52,0.019864026457071304,0.22371968626976013,0.20385566353797913,90.625
54,0.019909841939806938,0.17031848430633545,0.15040865540504456,91.796875
56,0.019947027787566185,0.21540024876594543,0.1954532116651535,92.1875
58,0.019976720213890076,0.2358343005180359,0.2158575803041458,91.40625
60,0.02000042051076889,0.17884354293346405,0.15884312987327576,93.359375
62,0.02001955546438694,0.15305140614509583,0.13303185999393463,94.53125
64,0.020035043358802795,0.19463178515434265,0.17459672689437866,93.359375
66,0.02004733681678772,0.16432303190231323,0.1442756950855255,93.359375
68,0.020057085901498795,0.19777467846870422,0.17771759629249573,92.1875
70,0.020064713433384895,0.15813207626342773,0.138067364692688,94.53125
72,0.020070727914571762,0.21259331703186035,0.1925225853919983,93.359375
74,0.020075183361768723,0.19601792097091675,0.17594274878501892,93.75
76,0.020078223198652267,0.15491072833538055,0.134832501411438,95.703125
78,0.020080486312508583,0.17927338182926178,0.15919288992881775,92.1875
80,0.02008245699107647,0.17675714194774628,0.15667468309402466,91.40625
82,0.02008429355919361,0.14758016169071198,0.12749585509300232,95.703125
84,0.020085658878087997,0.16069886088371277,0.14061319828033447,92.96875
86,0.020086336880922318,0.195992112159729,0.17590577900409698,92.96875
88,0.020086538046598434,0.16907718777656555,0.148990660905838,94.140625
90,0.020086634904146194,0.13673600554466248,0.11664936691522598,94.140625
92,0.020086562260985374,0.1345881074666977,0.11450155079364777,97.65625
94,0.020086295902729034,0.11458521336317062,0.09449891746044159,96.484375
96,0.020085811614990234,0.11431203782558441,0.09422621876001358,95.3125
98,0.020085368305444717,0.1469929814338684,0.126907616853714,94.921875
100,0.02008483000099659,0.14614802598953247,0.12606319785118103,94.921875
102,0.020084291696548462,0.17118321359157562,0.15109892189502716,94.921875
104,0.020083609968423843,0.10225965827703476,0.08217604458332062,97.65625
106,0.02008272148668766,0.21355709433555603,0.19347438216209412,94.140625
108,0.020081378519535065,0.18870759010314941,0.16862621903419495,92.1875
110,0.02007994055747986,0.11209362745285034,0.09201368689537048,96.875
112,0.020078804343938828,0.14693361520767212,0.1268548220396042,94.140625
114,0.020077740773558617,0.13974487781524658,0.11966714262962341,94.921875
116,0.02007676474750042,0.09839344024658203,0.07831667363643646,95.703125
118,0.020075928419828415,0.11248624324798584,0.09241031855344772,95.703125
120,0.020075304433703423,0.11475569009780884,0.09468038380146027,95.703125
122,0.020074639469385147,0.1065656989812851,0.08649106323719025,96.875
124,0.020073842257261276,0.1694553941488266,0.14938154816627502,95.703125
126,0.02007269114255905,0.20391279458999634,0.1838400959968567,91.796875
128,0.020071454346179962,0.12752413749694824,0.10745267570018768,94.921875
130,0.02007024735212326,0.12664273381233215,0.10657248646020889,95.3125
132,0.020069405436515808,0.09732496738433838,0.07725556194782257,96.484375
134,0.020068485289812088,0.14264971017837524,0.12258122861385345,96.09375
136,0.020067598670721054,0.12446747720241547,0.10439988225698471,95.3125
138,0.02006669156253338,0.08960173279047012,0.06953504681587219,97.65625
140,0.020065797492861748,0.09477819502353668,0.07471239566802979,97.265625
142,0.02006496861577034,0.11218197643756866,0.09211701154708862,95.703125
144,0.0200640968978405,0.13287515938282013,0.11281107366085052,95.3125
146,0.020063241943717003,0.1165885329246521,0.09652529656887054,95.3125
148,0.020062532275915146,0.13401684165000916,0.11395430564880371,96.484375
150,0.020061785355210304,0.13916973769664764,0.11910795420408249,96.484375
152,0.020060904324054718,0.07075056433677673,0.050689660012722015,98.046875
154,0.020060067996382713,0.10714790225028992,0.08708783239126205,96.09375
156,0.020059075206518173,0.09262387454509735,0.07256479561328888,97.265625
158,0.020058121532201767,0.15848764777183533,0.13842952251434326,94.140625
160,0.02005714550614357,0.0829601064324379,0.06290296465158463,96.875
162,0.02005624771118164,0.16629305481910706,0.14623680710792542,94.53125
164,0.020055260509252548,0.10597030818462372,0.08591504395008087,96.484375
166,0.020054351538419724,0.07675457000732422,0.056700222194194794,97.265625
168,0.020053409039974213,0.08706673234701157,0.06701332330703735,98.4375
170,0.02005249261856079,0.1063309758901596,0.08627849072217941,96.875
172,0.020051511004567146,0.0888257771730423,0.0687742680311203,97.65625
174,0.020050551742315292,0.11443012207746506,0.09437957406044006,96.09375
176,0.020049527287483215,0.0950460135936737,0.07499648630619049,96.09375
178,0.020048709586262703,0.09708909690380096,0.07704038918018341,97.65625
180,0.020048057660460472,0.08197177946567535,0.06192371994256973,96.875
182,0.02004738710820675,0.05915576219558716,0.03910837322473526,98.4375
184,0.02004670910537243,0.09289757907390594,0.07285086810588837,97.265625
186,0.020045990124344826,0.09333432465791702,0.07328833639621735,98.046875
188,0.020045258104801178,0.0770430713891983,0.05699782073497772,97.65625
190,0.020044447854161263,0.09676893800497055,0.07672448456287384,97.265625
192,0.020043611526489258,0.10213117301464081,0.08208756893873215,97.265625
194,0.020042680203914642,0.06556294858455658,0.04552026838064194,98.4375
196,0.020041905343532562,0.08615656197071075,0.06611466407775879,96.484375
198,0.020041216164827347,0.10758721083402634,0.08754599094390869,98.046875
200,0.020040497183799744,0.11562800407409668,0.09558750689029694,96.484375
202,0.020039822906255722,0.125453919172287,0.10541409254074097,96.875
204,0.02003900520503521,0.16066047549247742,0.14062148332595825,94.53125
206,0.020038101822137833,0.0844721794128418,0.06443408131599426,97.65625
208,0.020037271082401276,0.09989328682422638,0.0798560082912445,98.046875
210,0.02003643289208412,0.17101186513900757,0.15097543597221375,95.703125
212,0.02003546804189682,0.06358611583709717,0.043550651520490646,98.828125
214,0.02003461867570877,0.09967893362045288,0.07964430749416351,96.484375
216,0.020033851265907288,0.0889866054058075,0.06895275413990021,96.875
218,0.020033130422234535,0.08635986596345901,0.06632673740386963,96.875
220,0.020032521337270737,0.0774284228682518,0.05739590525627136,98.046875
222,0.020032014697790146,0.1137443482875824,0.09371232986450195,96.875
224,0.020031467080116272,0.09271779656410217,0.0726863369345665,97.265625
226,0.020030871033668518,0.07814405113458633,0.05811317637562752,98.4375
228,0.02003025822341442,0.10031142085790634,0.08028116077184677,98.4375
230,0.020029619336128235,0.08836901187896729,0.06833939254283905,97.65625
232,0.02002890035510063,0.06267214566469193,0.042643241584300995,98.4375
